raw_text,category
ELEC BILL FY24,Non-Personnel
MATH SPEC STIPEND BLDG 2,Personnel
CONS FEES LOC 22,Non-Personnel
COPIER LEASE Q2,Non-Personnel
POSTAGE RM 205,Non-Personnel
TRASH Q1,Non-Personnel
BINDERS SCH 04,Non-Personnel
ASSESSMNT MAT RM 205,Non-Personnel
CAFETERIA FOOD RM 205,Non-Personnel
MILK Q4,Non-Personnel
YEARBOOK ADV STPND FY24,Personnel
WC INS PREM SPECIAL ED TCHR FY25,Personnel
SPEECH PATH STIPEND - JUL,Personnel
SPECIAL ED TCHR - OVR TIME ACCT 2200,Personnel
LAWN CARE BLDG 2,Non-Personnel
SECURITY SAL SCH 04,Personnel
LIFE INSURANCE - TEACHER SCH 04,Personnel
AUTO INS - BUS FLEET FY25,Non-Personnel
TONER Q1,Non-Personnel
DAILY SUB - NOV,Personnel
GT TCHR - SEVERANCE - 9-12 BLDG 2,Personnel
CHEER COACH STIPEND 47,Personnel
WORK COMP - LIBRARIAN BLDG 1.,Personnel
FNGRPRINT SVC NEW STAFF,Non-Personnel
SUPERINTENDENT STPND RM 12B,Personnel
ATH DIR STIPEND FY26,Personnel
ATTORNEY FEES BLDG 1,Non-Personnel
SLP - BONUS ACCT 2200,Personnel
SECURITY OT PAY BLDG 2,Personnel
TCHR AIDE 403B MATCH 215,Personnel
TCHR TRAINING BOOKS GR 5,Non-Personnel
MAINT WKR - OT FY25,Personnel
TITLE 1 TCHR BONUS FY26,Personnel
PSYCHOLOGIST-DENTAL - SEP,Personnel
POWERSCHOOL SUB FEE- SEP,Non-Personnel
CLSRM SUPPLIES 102,Non-Personnel
ELL TCHR - PAY - 3-5 LOC 22,Personnel
WKR COMP / RDG COACH BLDG 1,Personnel
FUEL BUS BLDG 1,Non-Personnel
CLASSROOM SUPPLS Q4,Non-Personnel
SUBSCRP SVC Q2,Non-Personnel
CHRMBOOK BLDG A.,Non-Personnel
FRESH PRODUCE SCH 07,Non-Personnel
UNEMPL INS - CUSTODIAN SCH 04,Personnel
GRADE LVL LEAD STPND RM 12B,Personnel
SW-SUPPL PAY FY26,Personnel
COUNSLR SALARY LOC 22,Personnel
POWERSCHOOL SUB FEE ACCT 6120,Non-Personnel
PSYCHOLOGIST RETRO PAY ACCT 6120,Personnel
